trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
480,False,"{'a': 0.5, 'e': 0.05579896266503611}",20,3,18.742047542440428,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.5, 'e': 0.05546517126462075}",35,15,33.148081729826764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.5, 'e': 0.05513337661636114}",20,16,6.822969284279091,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.5, 'e': 0.054803566775614154}",20,14,12.558022852337759,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.5, 'e': 0.05447572986918986}",20,13,9.5114932437535,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.5, 'e': 0.05414985409492427}",30,20,21.993874530155182,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.5, 'e': 0.05382592772125425}",25,6,-8.965858167548063,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
487,False,"{'a': 0.5, 'e': 0.05350393908679544}",30,20,18.487877587399158,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.5, 'e': 0.05318387659992216}",25,8,-7.952312187648107,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
489,False,"{'a': 0.5, 'e': 0.05286572873835037}",30,13,32.083041250329906,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.5, 'e': 0.05254948404872264}",25,17,11.892282522858714,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.5, 'e': 0.05223513114619603}",25,16,14.857001294632678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.5, 'e': 0.05192265871403207}",25,2,21.681444567507885,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
493,False,"{'a': 0.5, 'e': 0.05161205550318949}",25,0,27.581369073451718,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
494,False,"{'a': 0.5, 'e': 0.05130331033191911}",35,20,23.515255711371193,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.5, 'e': 0.050996412085361466}",20,4,-16.7579645749055,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
496,False,"{'a': 0.5, 'e': 0.050691349715146494}",25,15,18.231560927417487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
